地域,センター,燃えるゴミ,燃えないゴミ,資源,ビン
アインズコート柏管理組合,B,2・4火曜,1・3金曜,?21,
青葉台ベルドゥムールマンション自治会,A,1・3木曜,2・4金曜,?10,
あかね町町会,B,1・3金曜,2・4木曜,?14,
明原町会,B,1・3金曜,1・3月曜,?11,
あけぼの町会,B,1・3金曜,1・3火曜,?12,
旭町町会,B,2・4木曜,1・3金曜,?28,
旭町7・8丁目町会,B,2・4木曜,1・3月曜,?26,
あざみ町会,B,2・4金曜,2・4月曜,?29,
東町会,B,2・4火曜,2・4木曜,?23,
東1丁目町会,B,2・4火曜,2・4木曜,?23,
東1丁目第2町会,B,2・4火曜,2・4木曜,?23,
東2丁目町会,B,1・3金曜,2・4火曜,?13,
東3丁目町会,B,1・3金曜,2・4火曜,?13,
東台町会,B,2・4火曜,2・4木曜,?23,
荒屋敷町会,A,2・4月曜,1・3木曜,?16,
泉町町会,B,2・4火曜,2・4火曜,?22
伊勢原町会,A,1・3月曜,1・3水曜,?2
今泉台町会,B,2・4木曜,1・3火曜,?27
今谷上町町会,A,1・3木曜,2・4火曜,?8
今谷南町会,A,1・3木曜,2・4火曜,?8
ウインザーハイム北柏ガーデン自治会,A,2・4月曜,1・3木曜,?16
ウェルフェアグリーン柏自治会,A,2・4月曜,1・3木曜,?16
梅林町会,B,1・3月曜,1・3火曜,?3
永楽台町会,B,2・4金曜,2・4月曜,?29
エステート荒工山自治会,B,2・4火曜,2・4木曜,?23
工ステコート北柏自治会,B,2・4月曜,1・3火曜,?18
大青田町会,A,1・3月曜,1・3水曜,2
大青田58町会,A,1・3月曜,1・3水曜,2
大塚町会,B,1・3金曜,2・4木曜,14
大室町会,A,1・3月曜,1・3水曜,2
オーベル柏自治会,B,1・3月曜,1・3火曜,3
加賀町会,B,2・4金曜,2・4月曜,29
カーサデコルサ新柏自治会,B,2・4金曜,2・4月曜,29
柏グリーンハイツ自治会,B,2・4火曜,1・3金曜,21
柏サンハイツ自治会,A,1・3火曜,2・4金曜,5
柏住宅自治会（みどり台）,A,1・3月曜,1・3水曜,2
柏中央住宅柏会,B,1・3金曜,2・4火曜,13
柏中央住宅自治会白ゆり会,B,1・3金曜,2・4火曜,13
柏の葉1丁目自治会,A,1・3月曜,1・3水曜,2
柏の葉2丁目町会,A,1・3月曜,1・3水曜,2
柏の葉3丁目町会,A,1・3月曜,1・3水曜,2
柏の葉キャンパス一番街町会,A,1・3月曜,1・3火曜,1
柏ハイム自治会,B,1・3金曜,2・4木曜,14
柏ハイライズ自治会,A,1・3月曜,1・3水曜,2
柏ビレジ自治会,B,1・3木曜,1・3水曜,7
ガーデンコート柏自治会,A,1・3火曜,2・4金曜,5
ガーデンヒルズ自治会,B,2・4火曜,1・3金曜,21
香取台町会,B,2・4月曜,1・3火曜,18
柏上1丁目町会,B,2・4火曜,2・4木曜,23
柏上2丁目町会,B,2・4火曜,2・4木曜,23
柏上3丁目町会,B,2・4火曜,2・4木曜,23
柏中原県営住宅自治会,A,1・3木曜,2・4金曜,10
柏ファミールハイツ増尾自治会,A,1・3火曜,2・4水曜,4
かやの町会,B,1・3火曜,1・3月曜,6
刈込町会,B,1・3金曜,2・4木曜,14
川岸自治会,B,1・3月曜,1・3火曜,3
気象大学校智明寮町会,B,2・4木曜,1・3金曜,28
北柏町会,A,2・4月曜,1・3金曜,17
北柏台町会,A,2・4月曜,1・3金曜,17
北柏ライフタウン住宅,B,2・4火曜,1・3木曜,19
亀甲台町会,B,2・4金曜,2・4月曜,29
木戸前町会,B,2・4金曜,2・4月曜,29
キャッスル北柏第2管理組合,A,2・4月曜,1・3木曜,16
熊野台町会,B,1・3月曜,1・3火曜,3
グランヴィル松葉自治会,B,2・4火曜,1・3木曜,19
グリーンキャピタル北柏,A,2・4月曜,1・3木曜,16
グリーンハウス南柏自治会,A,1・3木曜,2・4金曜,10
グリーンパーク南柏,B,1・3金曜,2・4火曜,13
クレスト柏自治会,B,2・4月曜,1・3火曜,18
県営住宅柏逆井,A,1・3火曜,2・4水曜,4
小青田町会,A,1・3月曜,1・3水曜,2
高野台町会,A,2・4月曜,1・3木曜,16
小新山町会,A,1・3火曜,2・4水曜,4
寿町会,B,1・3月曜,1・3火曜,3
コープタウン北柏自治会,B,2・4火曜,1・3木曜,19
コープ野村北柏自治会,A,2・4月曜,1・3木曜,16
コミュニティー八幡町会,B,2・4月曜,1・3木曜,18
古谷町会,A,2・4月曜,1・3木曜,16
小柳町町会,B,2・4火曜,1・3金曜,21
幸町町会,B,2・4火曜,1・3金曜,21
酒井根町会,A,1・3木曜,2・4金曜,10
酒井根四季美自治会,A,1・3木曜,2・4金曜,10
酒井根東町会,A,1・3木曜,2・4金曜,10
栄町町会,B,2・4火曜,2・4火曜,22
逆井町会,A,1・3火曜,2・4水曜,4
逆井北町会,A,1・3火曜,2・4金曜,5
逆井団地管理組合,A,1・3火曜,2・4水曜,4
逆井仲町町会,A,1・3火曜,2・4水曜,4
逆井藤ノ台町会,A,1・3火曜,2・4水曜,4
逆井南町会,A,1・3火曜,2・4水曜,4
桜ヶ丘町会,A,1・3火曜,2・4水曜,4
桜台町会,B,2・4火曜,2・4木曜,23
サルビア会,B,2・4木曜,1・3火曜,27
三愛町会,A,1・3火曜,2・4金曜,5
三区二丁目町会（常磐線西口側）,B,2・4木曜,1・3金曜,28
三区二丁目町会（常磐線東口側）,B,2・4火曜,1・3金曜,21
サンパセオ新柏アネックス管理組合,B,2・4金曜,2・4月曜,29
サンパセオ新柏自治会,B,2・4金曜,2・4月曜,29
サンライフ柏台町会,A,1・3火曜,2・4金曜,5
JR向原自治会,B,2・4木曜,1・3月曜,26
四季原町会,B,2・4木曜,1・3火曜,27
篠籠田町会,B,2・4木曜,1・3火曜,27
シティパラス柏自治会,A,1・3月曜,1・3水曜,2
下町会,B,2・4火曜,1・3金曜,21
住宅金融支援機構柏寮,B,1・3金曜,2・4火曜,13
ジュエルガーデン,A,1・3木曜,2・4金曜,10
秀和柏レジデンス管理組合,B,1・3金曜,1・3火曜,12
宿連寺町会,A,2・4月曜,1・3木曜,16
正連寺町会,A,1・3月曜,1・3水曜,2
白鷺町会,B,2・4金曜,2・4月曜,29
新青田町会,A,1・3月曜,1・3水曜,2
新あかね町会,B,2・4金曜,2・4月曜,29
新柏住宅自治会,B,2・4金曜,2・4月曜,29
新柏2丁目第1自治会,B,2・4金曜,2・4月曜,29
新柏2丁目第2自治会,B,2・4金曜,2・4月曜,29
新柏3丁目第1自治会,B,2・4金曜,2・4月曜,29
新栄町町会,A,1・3火曜,2・4水曜,4
新富町町会,A,2・4木曜,1・3金曜,25
新並木町会,A,1・3火曜,2・4水曜,4
新屋敷町会,A,2・4月曜,1・3木曜,16
新若柴町会,A,1・3月曜,1・3火曜,1
末広町会,B,2・4木曜,1・3金曜,28
関場町会,B,1・3金曜,2・4火曜,13
ソフィア柏町会,B,2・4火曜,1・3金曜,21
ソフィア柏グランハースト,B,1・3金曜,1・3月曜,11
第1住宅増尾団地自治会,B,2・4金曜,2・4月曜,29
高田町会,B,1・3月曜,1・3火曜,3
千代田町会,B,1・3金曜,2・4木曜,14
千代田橋町会,B,1・3金曜,1・3火曜,12
つくしが丘町会,A,1・3木曜,2・4金曜,10
土谷津町会,A,2・4月曜,1・3木曜,16
つばめ自治会,A,2・4木曜,1・3月曜,24
デュオガーデン柏見晴らしの丘自治会,B,2・4火曜,1・3金曜,21
デュリエ江戸川台自治会,A,1・3月曜,1・3水曜,2
寺山町会,A,2・4月曜,1・3木曜,16
東武なかはら団地自治会,B,2・4金曜,2・4月曜,29
通1丁目町会,B,2・4火曜,2・4火曜,22
常盤台町会,B,2・4金曜,2・4木曜,9
利根町会,A,2・4月曜,1・3木曜,16
戸張町会,B,2・4火曜,1・3金曜,21
富里町会,B,1・3金曜,2・4木曜,14
豊上町町会,A,2・4木曜,1・3月曜,24
豊四季町会,A,2・4木曜,1・3月曜,24
豊四季台団地自治会,B,1・3火曜,1・3月曜,6
豊住町会,A,1・3木曜,2・4火曜,8
豊原町会,A,1・3木曜,2・4火曜,8
十余二緑町町会,A,1・3月曜,1・3水曜,2
中新宿町会,A,1・3木曜,2・4火曜,8
仲町会（常磐線西口側）,B,1・3金曜,2・4木曜,14
仲町会（常磐線東口側）,B,2・4火曜,2・4木曜,23
中野台町会,A,2・4月曜,1・3水曜,15
中花崎町会,A,2・4月曜,1・3水曜,15
中原町会,A,1・3木曜,2・4金曜,10
名戸ケ谷町会,B,2・4金曜,2・4月曜,29
南部町会,A,1・3火曜,2・4水曜,4
西柏台第2町会,A,1・3月曜,1・3水曜,2
西柏台明光町会,A,1・3月曜,1・3水曜,2
西原町会,A,1・3月曜,1・3水曜,2
西原第4町会,A,1・3月曜,1・3水曜,2
西原第5町会,A,1・3月曜,1・3水曜,2
西原第6町会,A,1・3月曜,1・3水曜,2
西町町会,B,1・3金曜,1・3月曜,11
西山町会,A,1・3木曜,2・4金曜,10
根戸上町会,A,2・4月曜,1・3木曜,16
根戸グリーンタウン自治会,A,2・4月曜,1・3木曜,16
根戸下町会,A,2・4月曜,1・3木曜,16
根戸中町会,A,2・4月曜,1・3木曜,16
野沢町会,A,1・3火曜,2・4水曜,4
萩の台町会,A,第1・第3月曜,第1・第3水曜,2
柏南町会,A,第1・第3火曜,第2・第4水曜,4
